"행정구역별(1)",행정구역별(2),계,계,계,계,계,침엽수,침엽수,침엽수,침엽수,침엽수,활엽수,활엽수,활엽수,활엽수,활엽수,혼효림,혼효림,혼효림,혼효림,혼효림,죽림,죽림,죽림,죽림,죽림,무립목지,무립목지,무립목지,무립목지,무립목지
"강원특별자치도",원주시,61055,61055,61055,61055,60704,16238,16238,16238,16238,16221,24674,24674,24674,24674,24322,17046,17046,17046,17046,17297,0,0,0,0,0,3097,3097,3097,3097,2864
"강원특별자치도",강릉시,82955,82955,82955,82955,82654,29878,29878,29878,29878,31028,27112,27112,27112,27112,31419,24489,24489,24489,24489,18617,63,63,63,63,50,1413,1413,1413,1413,1540
"강원특별자치도",동해시,13686,13686,13686,13686,13635,5036,5036,5036,5036,5219,4737,4737,4737,4737,4805,3545,3545,3545,3545,3273,6,6,6,6,7,362,362,362,362,331
"강원특별자치도",태백시,26764,26764,26764,26764,26713,10118,10118,10118,10118,9319,9155,9155,9155,9155,10891,5930,5930,5930,5930,4877,0,0,0,0,0,1561,1561,1561,1561,1626
"강원특별자치도",속초시,8001,8001,8001,8001,7957,1986,1986,1986,1986,2017,2623,2623,2623,2623,3191,2630,2630,2630,2630,1926,10,10,10,10,6,752,752,752,752,817
"강원특별자치도",삼척시,102272,102272,102272,102272,102169,45011,45011,45011,45011,45218,29898,29898,29898,29898,34580,24188,24188,24188,24188,19129,63,63,63,63,59,3112,3112,3112,3112,3183
"강원특별자치도",홍천군,149041,149041,149041,149041,148328,54955,54955,54955,54955,52656,50692,50692,50692,50692,57245,40494,40494,40494,40494,35901,0,0,0,0,0,2900,2900,2900,2900,2526
"강원특별자치도",횡성군,72239,72239,72239,72239,72054,27172,27172,27172,27172,27423,22899,22899,22899,22899,24517,19219,19219,19219,19219,17287,0,0,0,0,0,2949,2949,2949,2949,2827
"강원특별자치도",영월군,89874,89874,89874,89874,89690,29963,29963,29963,29963,31469,29796,29796,29796,29796,33052,28624,28624,28624,28624,23404,0,0,0,0,0,1491,1491,1491,1491,1765
"강원특별자치도",평창군,119406,119406,119406,119406,119088,38612,38612,38612,38612,38149,47389,47389,47389,47389,51374,29906,29906,29906,29906,25644,0,0,0,0,0,3499,3499,3499,3499,3921
"강원특별자치도",정선군,99876,99876,99876,99876,99786,34668,34668,34668,34668,36104,36560,36560,36560,36560,40155,26330,26330,26330,26330,21017,0,0,0,0,0,2318,2318,2318,2318,2510
"강원특별자치도",철원군,63942,63942,63942,63942,63894,14402,14402,14402,14402,13680,35373,35373,35373,35373,32694,13048,13048,13048,13048,16771,0,0,0,0,1,1119,1119,1119,1119,748
"강원특별자치도",화천군,79688,79688,79688,79688,79641,15558,15558,15558,15558,15104,43077,43077,43077,43077,41866,20506,20506,20506,20506,21927,0,0,0,0,0,547,547,547,547,744
"강원특별자치도",양구군,57732,57732,57732,57732,57704,19307,19307,19307,19307,19117,22948,22948,22948,22948,24477,14956,14956,14956,14956,13662,0,0,0,0,0,521,521,521,521,448
"강원특별자치도",인제군,159041,159041,159041,159041,158948,39210,39210,39210,39210,41965,66718,66718,66718,66718,73813,50974,50974,50974,50974,40755,0,0,0,0,1,2139,2139,2139,2139,2414
